what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347971907399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347971910538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347971914496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347971925330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347971960471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972033840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972051378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972069351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972098856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347972158441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347972160545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347972160709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347972162619
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1347972176428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972177069
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1347972178981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972179020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972266584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972275041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972316680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972320935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972337852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347972366224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347972369620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972373024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972375347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972378901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972417926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347972474436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972629696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972646614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972671131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972674232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAs",1347972674243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972680029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972683151
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1347972716482
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1347972716523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972772328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972776782
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1347972776795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972779255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972799366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347972801339
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347972803585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1347972814515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972817107
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347972818956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972822004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972828757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347972841590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347972842850
